0	1e-05	7.07107e-06	1
0.001	1.00071e-05	7.07607e-06	1
0.002	1.00142e-05	7.08107e-06	0.999999
0.003	1.00212e-05	7.08608e-06	0.999998
0.004	1.00283e-05	7.0911e-06	0.999996
0.005	1.00354e-05	7.09611e-06	0.999994
0.006	1.00425e-05	7.10113e-06	0.999991
0.007	1.00496e-05	7.10615e-06	0.999988
0.008	1.00567e-05	7.11118e-06	0.999984
0.009	1.00638e-05	7.11621e-06	0.99998
0.01	1.0071e-05	7.12125e-06	0.999975
0.011	1.00781e-05	7.12628e-06	0.99997
0.012	1.00852e-05	7.13132e-06	0.999964
0.013	1.00923e-05	7.13637e-06	0.999958
0.014	1.00995e-05	7.14142e-06	0.999951
0.015	1.01066e-05	7.14647e-06	0.999944
0.016	1.01138e-05	7.15152e-06	0.999936
0.017	1.01209e-05	7.15658e-06	0.999928
0.018	1.01281e-05	7.16164e-06	0.999919
0.019	1.01353e-05	7.16671e-06	0.99991
0.02	1.01424e-05	7.17178e-06	0.9999
0.021	1.01496e-05	7.17685e-06	0.99989
0.022	1.01568e-05	7.18193e-06	0.999879
0.023	1.0164e-05	7.18701e-06	0.999868
0.024	1.01712e-05	7.19209e-06	0.999856
0.025	1.01783e-05	7.19718e-06	0.999844
0.026	1.01855e-05	7.20227e-06	0.999831
0.027	1.01928e-05	7.20736e-06	0.999818
0.028	1.02e-05	7.21246e-06	0.999804
0.029	1.02072e-05	7.21756e-06	0.99979
0.03	1.02144e-05	7.22267e-06	0.999775
0.031	1.02216e-05	7.22778e-06	0.99976
0.032	1.02289e-05	7.23289e-06	0.999744
0.033	1.02361e-05	7.23801e-06	0.999728
0.034	1.02433e-05	7.24313e-06	0.999711
0.035	1.02506e-05	7.24825e-06	0.999694
0.036	1.02578e-05	7.25338e-06	0.999676
0.037	1.02651e-05	7.25851e-06	0.999658
0.038	1.02723e-05	7.26364e-06	0.999639
0.039	1.02796e-05	7.26878e-06	0.99962
0.04	1.02869e-05	7.27392e-06	0.9996
0.041	1.02942e-05	7.27907e-06	0.99958
0.042	1.03014e-05	7.28422e-06	0.999559
0.043	1.03087e-05	7.28937e-06	0.999538
0.044	1.0316e-05	7.29453e-06	0.999516
0.045	1.03233e-05	7.29969e-06	0.999494
0.046	1.03306e-05	7.30485e-06	0.999471
0.047	1.03379e-05	7.31002e-06	0.999448
0.048	1.03452e-05	7.31519e-06	0.999424
0.049	1.03526e-05	7.32036e-06	0.9994
0.05	1.03599e-05	7.32554e-06	0.999375
0.051	1.03672e-05	7.33072e-06	0.99935
0.052	1.03745e-05	7.33591e-06	0.999324
0.053	1.03819e-05	7.3411e-06	0.999298
0.054	1.03892e-05	7.34629e-06	0.999271
0.055	1.03966e-05	7.35149e-06	0.999244
0.056	1.04039e-05	7.35669e-06	0.999217
0.057	1.04113e-05	7.36189e-06	0.999188
0.058	1.04186e-05	7.3671e-06	0.99916
0.059	1.0426e-05	7.37231e-06	0.99913
0.06	1.04334e-05	7.37752e-06	0.999101
0.061	1.04408e-05	7.38274e-06	0.99907
0.062	1.04482e-05	7.38796e-06	0.99904
0.063	1.04555e-05	7.39319e-06	0.999009
0.064	1.04629e-05	7.39842e-06	0.998977
0.065	1.04703e-05	7.40365e-06	0.998945
0.066	1.04778e-05	7.40889e-06	0.998912
0.067	1.04852e-05	7.41413e-06	0.998879
0.068	1.04926e-05	7.41937e-06	0.998845
0.069	1.05e-05	7.42462e-06	0.998811
0.07	1.05074e-05	7.42987e-06	0.998776
0.071	1.05149e-05	7.43513e-06	0.998741
0.072	1.05223e-05	7.44039e-06	0.998705
0.073	1.05297e-05	7.44565e-06	0.998669
0.074	1.05372e-05	7.45092e-06	0.998633
0.075	1.05446e-05	7.45619e-06	0.998595
0.076	1.05521e-05	7.46146e-06	0.998558
0.077	1.05596e-05	7.46674e-06	0.99852
0.078	1.0567e-05	7.47202e-06	0.998481
0.079	1.05745e-05	7.47731e-06	0.998442
0.08	1.0582e-05	7.4826e-06	0.998402
0.081	1.05895e-05	7.48789e-06	0.998362
0.082	1.0597e-05	7.49319e-06	0.998321
0.083	1.06045e-05	7.49849e-06	0.99828
0.084	1.0612e-05	7.50379e-06	0.998239
0.085	1.06195e-05	7.5091e-06	0.998196
0.086	1.0627e-05	7.51441e-06	0.998154
0.087	1.06345e-05	7.51973e-06	0.998111
0.088	1.0642e-05	7.52505e-06	0.998067
0.089	1.06495e-05	7.53037e-06	0.998023
0.09	1.06571e-05	7.5357e-06	0.997978
0.091	1.06646e-05	7.54103e-06	0.997933
0.092	1.06722e-05	7.54636e-06	0.997888
0.093	1.06797e-05	7.5517e-06	0.997842
0.094	1.06873e-05	7.55704e-06	0.997795
0.095	1.06948e-05	7.56239e-06	0.997748
0.096	1.07024e-05	7.56773e-06	0.9977
0.097	1.071e-05	7.57309e-06	0.997652
0.098	1.07175e-05	7.57844e-06	0.997604
0.099	1.07251e-05	7.58381e-06	0.997555
0.1	1.07327e-05	7.58917e-06	0.997505
0.101	1.07403e-05	7.59454e-06	0.997455
0.102	1.07479e-05	7.59991e-06	0.997405
0.103	1.07555e-05	7.60529e-06	0.997354
0.104	1.07631e-05	7.61067e-06	0.997302
0.105	1.07707e-05	7.61605e-06	0.99725
0.106	1.07783e-05	7.62144e-06	0.997198
0.107	1.0786e-05	7.62683e-06	0.997145
0.108	1.07936e-05	7.63222e-06	0.997091
0.109	1.08012e-05	7.63762e-06	0.997037
0.11	1.08089e-05	7.64302e-06	0.996983
0.111	1.08165e-05	7.64843e-06	0.996928
